QUOTE,LIKES,AUTHOR,TITLE,TAGS,processed_quote,original_quote,topic,topic_prob,sentiment_label,sentiment_score,sentiment_value,primary_emotion,emotion_score
in crowded rooms they would form words with their lips for each other's eyes,221,F. Scott Fitzgerald,The Beautiful and Damned,,crowded rooms form words lips other's eyes,in crowded rooms they would form words with their lips for each other's eyes,0,0.3428429268933181,POSITIVE,0.9976866245269775,0.9976866245269775,caring,0.13468292355537415
"Don't you ever get the feeling that all your life is going by and you're not taking advantage of it? Do you realize you've lived nearly half the time you have to live already?"" 
 ""Yes, every once in a while."" 
 ""Do you know that in abou thirty- five more years we'll be dead?"" 
 ""What the hell, Robert,"" I said. ""What the hell."" 
 ""I'm serious."" 
 ""It's one thig I don't worry about,"" I said. 
 ""You ought to."" 
 ""I've had plenty to worry about one time or other. I'm through worrying."" 
 ""Well, I want to go to South America."" 
 ""Listen, Robert, going to another country doesn't make any difference. I've tried all that. You can't get away from yourself by moving from one place to another. There's nothing to that."" 
 ""But you've never been to South America."" 
 ""South America hell! If you went there the way you feel now it would be exactly the same. This is a good town. Why don't you start living your life in Paris?",56,Ernest Hemingway,The Sun Also Rises,,ever get feeling life going taking advantage realize lived nearly half time live already yes every know abou thirty five years dead hell robert hell serious one thig worry ought plenty worry one time worrying well want go south america listen robert going another country make difference tried can't get away moving one place another there's nothing never south america south america hell went way feel exactly good town start living life paris,"Don't you ever get the feeling that all your life is going by and you're not taking advantage of it? Do you realize you've lived nearly half the time you have to live already?"" 
 ""Yes, every once in a while."" 
 ""Do you know that in abou thirty- five more years we'll be dead?"" 
 ""What the hell, Robert,"" I said. ""What the hell."" 
 ""I'm serious."" 
 ""It's one thig I don't worry about,"" I said. 
 ""You ought to."" 
 ""I've had plenty to worry about one time or other. I'm through worrying."" 
 ""Well, I want to go to South America."" 
 ""Listen, Robert, going to another country doesn't make any difference. I've tried all that. You can't get away from yourself by moving from one place to another. There's nothing to that."" 
 ""But you've never been to South America."" 
 ""South America hell! If you went there the way you feel now it would be exactly the same. This is a good town. Why don't you start living your life in Paris?",0,0.9895230286227592,NEGATIVE,0.898412823677063,-0.898412823677063,confusion,0.13263842463493347
"There is nothing more admirable than when two people who see eye to eye keep house as man and wife, confounding their enemies and delighting their friends.",409,Homer,The Odyssey,"['friendship', 'home', 'marriage']",nothing admirable two people see eye eye keep house man wife confounding enemies delighting friends,"There is nothing more admirable than when two people who see eye to eye keep house as man and wife, confounding their enemies and delighting their friends.",-1,0.0,POSITIVE,0.9996415376663208,0.9996415376663208,amusement,0.23290786147117615
"Our apparitions, the things you know us by, are simply childish. Beneath it is all dark, it is all spreading, it is unfathomably deep; but now and again we rise to the surface and that is what you see us by.",60,Virginia Woolf,To the Lighthouse,,apparitions things know us simply childish beneath dark spreading unfathomably deep rise surface see us,"Our apparitions, the things you know us by, are simply childish. Beneath it is all dark, it is all spreading, it is unfathomably deep; but now and again we rise to the surface and that is what you see us by.",-1,0.0,NEGATIVE,0.893302321434021,-0.893302321434021,confusion,0.17070463299751282
"Throughout the centuries there were men who took first steps down new roads armed with nothing but their own vision. Their goals differed, but they all had this in common: that the step was first, the road new, the vision unborrowed, and the response they received — hatred. The great creators — the thinkers, the artists, the scientists, the inventors — stood alone against the men of their time. Every great new thought was opposed. Every great new invention was denounced. The first motor was considered foolish. The airplane was considered impossible. The power loom was considered vicious. Anesthesia was considered sinful. But the men of unborrowed vision went ahead. They fought, they suffered and they paid. But they won.",204,Ayn Rand,The Fountainhead,"['objectivism', 'vision']",throughout centuries men took first steps new roads armed nothing vision goals differed common step first road new vision unborrowed response received hatred great creators thinkers artists scientists inventors stood alone men time every great new thought opposed every great new invention denounced first motor considered foolish airplane considered impossible power loom considered vicious anesthesia considered sinful men unborrowed vision went ahead fought suffered paid,"Throughout the centuries there were men who took first steps down new roads armed with nothing but their own vision. Their goals differed, but they all had this in common: that the step was first, the road new, the vision unborrowed, and the response they received — hatred. The great creators — the thinkers, the artists, the scientists, the inventors — stood alone against the men of their time. Every great new thought was opposed. Every great new invention was denounced. The first motor was considered foolish. The airplane was considered impossible. The power loom was considered vicious. Anesthesia was considered sinful. But the men of unborrowed vision went ahead. They fought, they suffered and they paid. But they won.",-1,0.0,NEGATIVE,0.8913030028343201,-0.8913030028343201,disapproval,0.2805178165435791
"By now it was clear that Howl was in a mood to produce green slime any second. Sophie hurriedly put her sewing away. ""I'll make some hot buttered toast,"" she said. ""Is that all you can do in the face of tragedy??"" Howl asked. ""Make toast!",213,Diana Wynne Jones,Howl's Moving Castle,"['howl', 'howl-s-moving-castle', 'sophie']",clear howl mood produce green slime second sophie hurriedly put sewing away make hot buttered toast face tragedy howl asked make toast,"By now it was clear that Howl was in a mood to produce green slime any second. Sophie hurriedly put her sewing away. ""I'll make some hot buttered toast,"" she said. ""Is that all you can do in the face of tragedy??"" Howl asked. ""Make toast!",-1,0.0,NEGATIVE,0.9796286225318909,-0.9796286225318909,sadness,0.12537549436092377
I suppose it is because nearly all children go to school nowadays and have things arranged for them that they seem so forlornly unable to produce their own ideas.,168,Agatha Christie,Agatha Christie: An Autobiography,"['homeschool', 'homeschooling', 'learning']",suppose nearly children go school nowadays things arranged seem forlornly unable produce ideas,I suppose it is because nearly all children go to school nowadays and have things arranged for them that they seem so forlornly unable to produce their own ideas.,-1,0.0,NEGATIVE,0.9994370341300964,-0.9994370341300964,confusion,0.18130294978618622
"My armor is like tenfold shields, my teeth are swords, my claws spears, the shock of my tail a thunderbolt, my wings a hurricane, and my breath death!",106,J.R.R. Tolkien,The Hobbit or There and Back Again,"['smaug', 'strength']",armor tenfold shields teeth swords claws spears shock tail thunderbolt wings hurricane breath death,"My armor is like tenfold shields, my teeth are swords, my claws spears, the shock of my tail a thunderbolt, my wings a hurricane, and my breath death!",0,1.0,NEGATIVE,0.9808083772659302,-0.9808083772659302,excitement,0.09946347028017044
"Love doesn't erase the past, but it makes the future different.",66,Gary Chapman,The Five Love Languages Singles Edition,"['love', 'relationships']",love erase past makes future different,"Love doesn't erase the past, but it makes the future different.",-1,0.0,POSITIVE,0.9988131523132324,0.9988131523132324,love,0.3263922929763794
"Until today, it really pissed me off that I'd become this totally centered Zen Master and nobody had noticed. Still, I'm doing the little FAX thing. I write little HAIKU things and FAX them around to everyone. When I pass people in the hall at work, I get totally ZEN right in everyone's hostile little FACE.",55,Chuck Palahniuk,Fight Club,,today really pissed become totally centered zen master nobody noticed still little fax thing write little haiku things fax around everyone pass people hall work get totally zen right everyone's hostile little face,"Until today, it really pissed me off that I'd become this totally centered Zen Master and nobody had noticed. Still, I'm doing the little FAX thing. I write little HAIKU things and FAX them around to everyone. When I pass people in the hall at work, I get totally ZEN right in everyone's hostile little FACE.",-1,0.0,NEGATIVE,0.9911194443702698,-0.9911194443702698,annoyance,0.23157842457294464
